Product Name,Price,Rating
Em Aluminium Pressure Cooker - Explosion Proof - 5 Litres - Silver,"KSh 2,199",4.3 out of 5
Lyons AFK-1199-2 Water Dispenser Hot & Cold & Normal - 3 TAPS Dark Grey(1YR WRTY),"KSh 5,999",4.2 out of 5
3Pcs Soft Cotton Brief Men's Boxers – Waist 29-35inc,KSh 399,3.6 out of 5
"Skilltech 15"" To 43"" Tilting Wall Mount Bracket",KSh 399,4.1 out of 5
SiYi Water-Based Sex Lubricant And Massage Intimate Oil,KSh 298,4.2 out of 5
SiYi Water-Based Sex Lubricant And Massage Intimate Oil,KSh 298,4.2 out of 5
"Power King Extension Cable With 6 AC Power Outlets, 13A, And 2 M Long Cable",KSh 450,4 out of 5
Couple Canvas Low Top Lace-up Shoes Classic Casual Sneakers Black,KSh 699 - KSh 729,4.2 out of 5
Kabras Kabras Premium White Sugar - 2kg,KSh 345,4.5 out of 5
Solar Light New Solar Wall Light PIR Motion Sensor Outdoor Garden Security Street Lamp,KSh 540,3.7 out of 5
XIAOMI Redmi 14C 6.88'' 8GB RAM + 256GB ROM Android 14 Dual SIM +  SW BD PB,"KSh 14,950",4 out of 5
NIVEA Soft Moisturizing Cream 75ml (Pack Of 2),KSh 699,4.4 out of 5
"Home Design ROTATING 14""-55"" TILT MOVING WALL MOUNT BRACKET",KSh 735,4 out of 5
Big Purple Round Mosquito Net For Single Bed-FREE SIZE.,KSh 789,4 out of 5
RichRipple Pro3 Bluetooth Headsets Wireless Pods Pro Earpods Earphones,KSh 367,3.8 out of 5
RichRipple Aluminum Alloy Portable Laptop Stand Adjustable Height Foldable Computer Stand,KSh 432,4.3 out of 5
"3 Pieces Motivational Sports Bottle, BPA-Free Sports Bottle, Motivational Flask, Large Capacity, 2L+990ML+330ML 3pcs, Black",KSh 880,4.1 out of 5
RichRipple 60W 5In1 Multi-Functional Fast Charging  Cable Box,KSh 260,4.2 out of 5
ASHION 2024 Men's Casual Shoes Big Size  Sneakers 39-48,"KSh 1,040",4.1 out of 5
Ear Mounted Wireless Bluetooth Earphones Earpod Stereo Hifi,KSh 882,4.1 out of 5
"Samsung GALAXY A05,6.7 PLS LCD DISPLAY ,4GB RAM/64GB ROM,ANDROID 13,5000MAH,4G,DUAL,50MP+CV BT WTC","KSh 9,999",3.9 out of 5
Mosquito Net With Metallic Stand 4 By 6 - Purple,"KSh 1,159",3.8 out of 5
